,sentence,sentence_with_entity,subject_entity,object_entity,설아,보림,재윤,치영,동진
0,"또, 사모예드견은 이와 같이 북부 시베리아 쪽에서 살다보니 더위에 취약하며 털 빠짐에 유의해야한다.","또, <sbj:사모예드견>은 이와 같이 북부 <obj:시베리아> 쪽에서 살다보니 더위에 취약하며 털 빠짐에 유의해야한다.","{'start': 3, 'end': 7, 'text': '사모예드견', 'type': 'anm'}","{'start': 19, 'end': 22, 'text': '시베리아', 'type': 'loc'}",anm:habitat,anm:habitat,anm:habitat,anm:habitat,anm:habitat
1,사모예드견의 털은 두 가지로서 속털은 조밀하고 굵으며 양털처럼 부드러우나 표면의 털은 길고 다소 뻣뻣하며 목둘레와 앞가슴의 털은 우아하다.,<sbj:사모예드견>의 <obj:털>은 두 가지로서 속털은 조밀하고 굵으며 양털처럼 부드러우나 표면의 털은 길고 다소 뻣뻣하며 목둘레와 앞가슴의 털은 우아하다.,"{'start': 0, 'end': 4, 'text': '사모예드견', 'type': 'anm'}","{'start': 7, 'end': 7, 'text': '털', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
2,"사모예드견은 우아한 용모와 대담한 성격, 썰매용으로 단련된 강력한 힘을 인정받아 세계에 알려지면서 세계의 304여개의 견종 사이에서 가장 비싼 견종이라고도 한다.","<sbj:사모예드견>은 우아한 용모와 <obj:대담>한 성격, 썰매용으로 단련된 강력한 힘을 인정받아 세계에 알려지면서 세계의 304여개의 견종 사이에서 가장 비싼 견종이라고도 한다.","{'start': 0, 'end': 4, 'text': '사모예드견', 'type': 'anm'}","{'start': 15, 'end': 16, 'text': '대담', 'type': 'poh'}",anm:habit,anm:habit,anm:habit,anm:habit,anm:habit
3,사모예드견은 흰백색의 털과 입 끝 부분이 살짝 올라가서 생기는 미소(Samoyed smile)가 특징이다.,<sbj:사모예드견>은 <obj:흰백색>의 털과 입 끝 부분이 살짝 올라가서 생기는 미소(Samoyed smile)가 특징이다.,"{'start': 0, 'end': 4, 'text': '사모예드견', 'type': 'anm'}","{'start': 7, 'end': 9, 'text': '흰백색', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
4,사모예드견은 신부전증에 매우 취약한 견종으로 볼 수 있다.,<sbj:사모예드견>은 <obj:신부전증>에 매우 취약한 견종으로 볼 수 있다.,"{'start': 0, 'end': 4, 'text': '사모예드견', 'type': 'anm'}","{'start': 7, 'end': 10, 'text': '신부전증', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
5,사모예드견은 19세기에 와서 미국과 영국의 북극 탐험가들에 의하여 발전되어 썰매를 끄는 개로서 그들과 함께 활약한 후 처음 서양 각국에 소개되었다.,<sbj:사모예드견>은 19세기에 와서 미국과 영국의 <obj:북극 탐험가들>에 의하여 발전되어 썰매를 끄는 개로서 그들과 함께 활약한 후 처음 서양 각국에 소개되었다.,"{'start': 0, 'end': 4, 'text': '사모예드견', 'type': 'anm'}","{'start': 24, 'end': 30, 'text': '북극 탐험가들', 'type': 'per'}",anm:origin,anm:origin,anm:origin,anm:origin,anm:origin
6,"사모예드견은 북부 시베리아의 유목민 사모예드족이 옛날부터 기르던 썰매용 개로서, 부족의 이름을 따서 명명되었다.","<sbj:사모예드견>은 북부 시베리아의 유목민 사모예드족이 옛날부터 기르던 <obj:썰매용> 개로서, 부족의 이름을 따서 명명되었다.","{'start': 0, 'end': 4, 'text': '사모예드견', 'type': 'anm'}","{'start': 36, 'end': 38, 'text': '썰매용', 'type': 'poh'}",anm:role,anm:role,anm:role,anm:role,anm:role
7,"그래서 사모예드견은 공격적인 면도 없는데, 사교성이 매우 뛰어나서 경비견으로 활용할 수 없다.","그래서 <sbj:사모예드견>은 공격적인 면도 없는데, <obj:사교성>이 매우 뛰어나서 경비견으로 활용할 수 없다.","{'start': 4, 'end': 8, 'text': '사모예드견', 'type': 'anm'}","{'start': 24, 'end': 26, 'text': '사교성', 'type': 'poh'}",anm:habit,anm:habit,anm:habit,anm:habit,anm:habit
8,사모예드견의 털빛깔은 순백색 외에 크림색 및 담갈색도 있다.,<sbj:사모예드견>의 털빛깔은 순백색 외에 <obj:크림색> 및 담갈색도 있다.,"{'start': 0, 'end': 4, 'text': '사모예드견', 'type': 'anm'}","{'start': 19, 'end': 21, 'text': '크림색', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
9,"그 외에도, 사모예드견은 백내장 및 당뇨병, 고혈압, 피지선염, 대퇴골 이형성증 등도 물론 취약하다.","그 외에도, <sbj:사모예드견>은 <obj:백내장> 및 당뇨병, 고혈압, 피지선염, 대퇴골 이형성증 등도 물론 취약하다.","{'start': 7, 'end': 11, 'text': '사모예드견', 'type': 'anm'}","{'start': 14, 'end': 16, 'text': '백내장', 'type': 'poh'}",anm:physical,anm:physical,anm:physical,anm:physical,anm:physical
