id,sentence,subject_entity,object_entity,label
1,"아프리카들고양이는 본래 들고양이의 아종으로 분류되었으나, 현재는 별도의 종으로 분류된다.","{'start': 13, 'end': 20, 'text': '들고양이의 아종', 'type': 'org'}","{'start': 0, 'end': 7, 'text': '아프리카들고양이', 'type': 'org'}",no_relation
2,아프리카들고양이는 고양이속에 속한 소형 고양이과 동물의 일종이다.,"{'start': 10, 'end': 13, 'text': '고양이속', 'type': 'org'}","{'start': 19, 'end': 25, 'text': '소형 고양이과', 'type': 'org'}",org:sub_group
3,아프리카들고양이는 아프리카·서아시아·중앙아시아·인도·중국에 걸쳐 서식한다.,"{'start': 0, 'end': 7, 'text': '아프리카들고양이', 'type': 'anm'}","{'start': 29, 'end': 30, 'text': '중국', 'type': 'loc'}",anm:habitat
4,대한민국에 서식하는 청개구리는 청개구리 및 수원청개구리가 있다.,"{'start': 24, 'end': 29, 'text': '수원청개구리', 'type': 'anm'}","{'start': 0, 'end': 3, 'text': '대한민국', 'type': 'loc'}",anm:habitat
5,"청개구리는 주로 평지와 저지대에 서식하며, 번식기 이외에는 관목이나 풀잎 위에서 생활한다.","{'start': 0, 'end': 3, 'text': '청개구리', 'type': 'anm'}","{'start': 13, 'end': 15, 'text': '저지대', 'type': 'loc'}",anm:habitat
6,청개구리는 등쪽이 초록색을 띄고 있지만 항상 그런 것은 아니다.,"{'start': 0, 'end': 3, 'text': '청개구리', 'type': 'anm'}","{'start': 6, 'end': 12, 'text': '등쪽이 초록색', 'type': 'poh'}",anm:physical
7,청개구리는 비슷한 소리가 연달아 들리면 뒷소리를 무시하고 앞소리만 듣는 일종의 착각인 ‘선행음 효과’를 이용하는 것이다.,"{'start': 0, 'end': 3, 'text': '청개구리', 'type': 'anm'}","{'start': 49, 'end': 54, 'text': '선행음 효과', 'type': 'poh'}",anm:habit
8,청개구리는 앞다리의 발가락 기부에 흔적적인 물갈퀴가 있고 뒷다리는 길고 물갈퀴가 잘 발달되어 있다.,"{'start': 0, 'end': 3, 'text': '청개구리', 'type': 'anm'}","{'start': 24, 'end': 26, 'text': '물갈퀴', 'type': 'poh'}",anm:physical
9,"청개구리는 죽은 나무 밑에서 겨울잠을 자고 번식기는 5-6월경인데, 한국에서는 논에 모를 심기 직전에 물 밖으로 나와 있는 흙이나 풀에서 수컷이 울며 암컷을 유인한다.","{'start': 0, 'end': 3, 'text': '청개구리', 'type': 'anm'}","{'start': 29, 'end': 33, 'text': '5-6월경', 'type': 'noh'}",anm:habit
10,수컷은 인두 부근에 커다란 울음주머니가 있고 암컷은 없다.,"{'start': 0, 'end': 1, 'text': '수컷', 'type': 'anm'}","{'start': 15, 'end': 19, 'text': '울음주머니', 'type': 'poh'}",anm:physical
11,청개구리는 환경에 따라 현저하게 색이 변하기도 한다.,"{'start': 0, 'end': 3, 'text': '청개구리', 'type': 'anm'}","{'start': 18, 'end': 23, 'text': '색이 변하기', 'type': 'poh'}",anm:physical
12,"청개구리는 낮에는 숲 속에서 조용히 있으나, 밤이 되면 논가로 몰려나와 울기 시작하는데, 구애 장소에서 수컷의 경쟁은 다른 개구리와 마찬가지로 치열하다.","{'start': 0, 'end': 3, 'text': '청개구리', 'type': 'anm'}","{'start': 58, 'end': 59, 'text': '수컷', 'type': 'anm'}",no_relation
13,"청개구리의 알은 논이나 못 등 고인 물의 물풀 같은 곳에 붙어 있으며, 알덩어리는 진한 황갈색으로 불규칙한 모양을 하고 1-10개의 알이 한 덩어리를 이룬다.","{'start': 0, 'end': 3, 'text': '청개구리', 'type': 'anm'}","{'start': 67, 'end': 74, 'text': '1-10개의 알', 'type': 'noh'}",no_relation
14,청개구리(Japanese tree frog)는 청개구리과의 개구리이다.,"{'start': 26, 'end': 30, 'text': '청개구리과', 'type': 'org'}","{'start': 0, 'end': 23, 'text': '청개구리(Japanese tree frog)', 'type': 'anm'}",org:sub_group
15,"청개구리는 나무나 풀, 숲에 있을 때는 녹색을 띄지만, 땅에 있을 때면 회갈색으로 변하거나 흑색의 무늬가 나타나기도 하기 때문에 다른 개구리로 잘못 알아보기 쉽다.","{'start': 0, 'end': 3, 'text': '청개구리', 'type': 'anm'}","{'start': 51, 'end': 56, 'text': '흑색의 무늬', 'type': 'poh'}",anm:physical
16,"청개구리의 먹이는 주로 애벌레, 거미 등 절지동물을 잡아먹는다.","{'start': 0, 'end': 3, 'text': '청개구리', 'type': 'anm'}","{'start': 23, 'end': 26, 'text': '절지동물', 'type': 'anm'}",anm:enemy
17,"청개구리의 등면은 녹색이나 황록색 바탕에 진한 녹색 또는 흑갈색의 불규칙한 무늬가 있으며, 몸의 빛깔을 쉽게 변화시킬 수 있다.","{'start': 0, 'end': 3, 'text': '청개구리', 'type': 'anm'}","{'start': 32, 'end': 43, 'text': '흑갈색의 불규칙한 무늬', 'type': 'poh'}",anm:physical
